,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MTA1,28.192528209783102,1.3170318915975532,0.46072192752800895,2.8586264575338367,0.004254794831691295,0.7723988030500667
SLC45A2,16.30455903043721,-1.4396890910478857,0.5038462938940534,-2.857397401737398,0.004271306949301142,0.7723988030500667
FKBP4,16.20567221012056,2.870722508686573,1.0030039664714663,2.8621247818048787,0.004208111960202702,0.7723988030500667
INVS,229.43578957032403,-0.6014123663453411,0.21444337064571342,-2.8045276687006924,0.005039036246894648,0.7723988030500667
RHO,187.51295918722732,1.8120453638962317,0.6329558811239634,2.862830440375268,0.004198751904245682,0.7723988030500667
JAKMIP1,535.3640567459139,-0.6246423460914231,0.21559214474949734,-2.8973335128569406,0.0037634943201641786,0.7723988030500667
ZNF529,23.555671872926194,0.9245923359283773,0.32570648277961234,2.8387286861403926,0.0045293650618247255,0.7723988030500667
B4GALNT4,66.69546229609016,1.7729960341133426,0.6260910568101116,2.831850119608206,0.004627953607114814,0.7723988030500667
NRL,48.23427906717346,1.5112719635163046,0.5259235565249438,2.8735582286940726,0.0040587625158479855,0.7723988030500667
NUDT14,4.47698696295504,3.701298902505565,1.3093454818929668,2.826831385368563,0.0047011074375139,0.7723988030500667
AL355472.1,10.396729503859383,1.5671958048541073,0.5589535955853523,2.803803065642497,0.005050374260243583,0.7723988030500667
GABRG3,3751.5103749488885,-0.6812092569092414,0.2429052424085753,-2.804423857445707,0.005040659189447075,0.7723988030500667
ZBTB20-AS1,6.193040623914656,2.762243941205739,0.9827166341556067,2.810824448473064,0.004941473939121161,0.7723988030500667
KMT2E-AS1,6.824065516933641,2.514445375049382,0.8874156421027205,2.833447209800623,0.004604891317766834,0.7723988030500667
ZNF324,6.096424074865293,1.9508958973127426,0.6753509757322349,2.888714116682108,0.003868205760093372,0.7723988030500667
RBP3,21.16945676432719,1.7933960812507987,0.6395519293385578,2.804144587767218,0.005045027522891869,0.7723988030500667
CREB5,137.0306257984362,-0.9283666927779758,0.331290564848006,-2.802273264872196,0.005074387146856987,0.7723988030500667
AP000229.1,12.517121420595542,-1.170838578250134,0.4095592020800462,-2.8587773691904492,0.004252771359485583,0.7723988030500667
ABCG4,4.855135894801786,2.812818254533079,0.9748494978870265,2.8853871911816396,0.0039093253716428284,0.7723988030500667
AC104574.2,17.348165778679547,-1.4692721042198038,0.5218091893567641,-2.8157267717553625,0.004866703676077602,0.7723988030500667
SMARCD3,12.536141582413558,1.6456629106261282,0.5841942192286314,2.8169791080765187,0.004847767895170676,0.7723988030500667
ROM1,74.04029533235907,2.1739990875324344,0.7714252066348238,2.818159257481405,0.0048299846394646235,0.7723988030500667
AC116903.2,45.94032556586558,-1.0713304691714924,0.3689434580802068,-2.903779551333282,0.0036868765975791888,0.7723988030500667
AL731533.2,4.11638374566567,2.429560910380851,0.868691617025785,2.7968048301181376,0.00516106994270194,0.7757733257623853
ZFAS1,24.32327938714331,1.2422328730561714,0.4450756387812131,2.7910601363352057,0.0052535710423963055,0.7799282936396984
AL117381.1,3.6651780381281616,3.20544267292012,1.1538529928118397,2.778033850836348,0.005468892049954086,0.8004579566003367
OOEP,8.080725256084527,3.153218238682409,1.1364110992055436,2.7747161576359116,0.005524990469673842,0.8004579566003367
AL359504.2,5.887905538965493,2.16238704960051,0.7815332080337508,2.7668524221009516,0.005660037095155075,0.8007287772851739
RARB,1180.4296105376422,-0.7243734191279518,0.2615764843667843,-2.769260474164912,0.00561836984574286,0.8007287772851739
CRNDE,142.82362397728554,-0.8792734717267241,0.3183559177168861,-2.7619196716445584,0.005746261416354117,0.8034743433913751
UCKL1,17.860209110181806,1.4485390772961326,0.5321285194709992,2.722160200577405,0.006485669367987884,0.8430949271621907
